,mean,std,min,25%,50%,75%,max
danceability,0.54,0.178,0.058,0.42,0.552,0.669,0.988
energy,0.58,0.253,0.0,0.396,0.601,0.787,1.0
key,5.213,3.535,0.0,2.0,5.0,8.0,11.0
loudness,-10.221,5.311,-49.253,-12.816,-9.257,-6.374,3.744
mode,0.693,0.461,0.0,0.0,1.0,1.0,1.0
speechiness,0.073,0.086,0.022,0.034,0.043,0.07,0.96
acousticness,0.364,0.339,0.0,0.039,0.258,0.676,0.996
instrumentalness,0.154,0.304,0.0,0.0,0.0,0.061,1.0
liveness,0.202,0.173,0.013,0.094,0.132,0.261,0.999
valence,0.542,0.267,0.0,0.33,0.559,0.768,0.996
tempo,119.343,29.093,31.988,97.399,117.567,136.498,241.423
duration_ms,234880.263,118971.258,15168.0,172916.5,217907.0,266773.0,4170227.0
time_signature,3.894,0.422,1.0,4.0,4.0,4.0,5.0
chorus_hit,40.104,18.999,0.0,27.6,35.85,47.625,433.182
sections,10.476,4.872,0.0,8.0,10.0,12.0,169.0
