level,group,feature,coef
era,Analog (1960-89),danceability,0.42733857723821794
era,Analog (1960-89),energy,-0.047463095336856
era,Analog (1960-89),key,0.03430932210026585
era,Analog (1960-89),loudness,0.2831726874865027
era,Analog (1960-89),mode,0.22693978469837825
era,Analog (1960-89),speechiness,-0.6950594785226208
era,Analog (1960-89),acousticness,-0.3730823194511662
era,Analog (1960-89),instrumentalness,-0.8241788316731689
era,Analog (1960-89),liveness,-0.010976123309191073
era,Analog (1960-89),valence,0.07621856653815284
era,Analog (1960-89),tempo,0.08158876691224491
era,Analog (1960-89),duration_ms,-0.00475252772054943
era,Analog (1960-89),time_signature,0.03566897243389437
era,Analog (1960-89),chorus_hit,-0.02623400040894628
era,Analog (1960-89),sections,-0.13885937502768725
era,CD/Digital (1990-2009),danceability,1.1918281887547617
era,CD/Digital (1990-2009),energy,-0.8661278172607098
era,CD/Digital (1990-2009),key,0.06388473335765397
era,CD/Digital (1990-2009),loudness,1.1535139622088226
era,CD/Digital (1990-2009),mode,0.16899255109383277
era,CD/Digital (1990-2009),speechiness,-0.1039849019152389
era,CD/Digital (1990-2009),acousticness,-0.834941953780128
era,CD/Digital (1990-2009),instrumentalness,-1.4213619306391176
era,CD/Digital (1990-2009),liveness,-0.12112861981190666
era,CD/Digital (1990-2009),valence,-0.21756650489308502
era,CD/Digital (1990-2009),tempo,0.07294943110980885
era,CD/Digital (1990-2009),duration_ms,0.2094181218849036
era,CD/Digital (1990-2009),time_signature,0.08173617655980094
era,CD/Digital (1990-2009),chorus_hit,-0.07901538479110233
era,CD/Digital (1990-2009),sections,-0.09801777649068513
era,Streaming (2010s),danceability,0.5984155747277307
era,Streaming (2010s),energy,-1.3978102591649646
era,Streaming (2010s),key,0.016717912043091997
era,Streaming (2010s),loudness,1.9272246714662724
era,Streaming (2010s),mode,0.08519288459689577
era,Streaming (2010s),speechiness,0.007953536480847297
era,Streaming (2010s),acousticness,-0.4532029232131858
era,Streaming (2010s),instrumentalness,-2.4193401013063367
era,Streaming (2010s),liveness,-0.06743197590102924
era,Streaming (2010s),valence,-0.12195706416279278
era,Streaming (2010s),tempo,0.09574652010854104
era,Streaming (2010s),duration_ms,-0.23927851436438588
era,Streaming (2010s),time_signature,0.20602691243742954
era,Streaming (2010s),chorus_hit,-0.01656115532548169
era,Streaming (2010s),sections,0.01562646411368834
decade,60s,danceability,0.24387242410897422
decade,60s,energy,0.2307854152884538
decade,60s,key,0.0820015026842829
decade,60s,loudness,0.1271617251070519
decade,60s,mode,0.3683487895936815
decade,60s,speechiness,-0.6514289666119748
decade,60s,acousticness,-0.3391303827003837
decade,60s,instrumentalness,-0.701488720485986
decade,60s,liveness,0.07843748348825445
decade,60s,valence,0.06134907231891437
decade,60s,tempo,0.1406474547274047
decade,60s,duration_ms,-0.7063472415757673
decade,60s,time_signature,-0.07302919048412616
decade,60s,chorus_hit,0.06142314506295289
decade,60s,sections,0.2212768847941335
decade,70s,danceability,0.4787434756054095
decade,70s,energy,0.05437580762237739
