level,group,model,n,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
era,Analog (1960-89),LogReg,23315,0.7137894059618272,0.0066010107904905,0.7352696994251731,0.0061618427166575,0.7863801193989873,0.0039803181428884
era,Analog (1960-89),KNN,23315,0.7253270426763886,0.0052764453581044,0.7599779759105755,0.0040753351384422,0.8005476746042783,0.0040974760829408
era,CD/Digital (1990-2009),LogReg,11391,0.801246869439294,0.0109021776903417,0.8116140802783983,0.0089770789275167,0.8743828495854284,0.0136482306447617
era,CD/Digital (1990-2009),KNN,11391,0.8033541735608667,0.0113950956360966,0.8252065697838189,0.0086812526575508,0.8832766516807233,0.0115473098302833
era,Streaming (2010s),LogReg,6397,0.8074093530101643,0.0097422704513314,0.8233946205850835,0.0077028919235491,0.8651601868153364,0.0077160017771524
era,Streaming (2010s),KNN,6397,0.7789601250977327,0.0080353283655448,0.8123248503775832,0.0065821193885235,0.8566075120427425,0.0099090578732754
decade,60s,LogReg,8641,0.7260739321594584,0.0055896143351179,0.7416759329327653,0.0070202660285254,0.790733388007267,0.0033945259706895
decade,60s,KNN,8641,0.7275776246170983,0.0033382166094615,0.762421350101172,0.0013753442841878,0.7960251000187326,0.0041906506482446
decade,70s,LogReg,7766,0.7128512009387734,0.0066404496443144,0.7324028928274522,0.0110799532508864,0.7914867978674053,0.0094900956686015
decade,70s,KNN,7766,0.7246989883821822,0.0083763693717843,0.75984119677671,0.0066182510194503,0.8051987029477775,0.0065695227966819
decade,80s,LogReg,6908,0.7675159362487176,0.0063635113894196,0.7823056043889502,0.003596358100873,0.8384369679297354,0.0073277938024903
decade,80s,KNN,6908,0.7628828707987563,0.0027559433575784,0.793741212136558,0.0029539706184864,0.8424117238567412,0.0054762351182237
decade,90s,LogReg,5520,0.8034420289855072,0.0094654713605892,0.8122372449043741,0.0090936151306216,0.8814928586431423,0.0089582263934696
decade,90s,KNN,5520,0.8119565217391305,0.0105726351169672,0.8324314970864497,0.0091629066992279,0.8882190584961143,0.0090500511260971
decade,00s,LogReg,5871,0.8211559679582441,0.005374497180806,0.8308388187500343,0.0057990053526778,0.8937879966697231,0.0102938332077831
decade,00s,KNN,5871,0.7969653122621334,0.0109643408773208,0.8222975280351011,0.0084631291567143,0.885086787806666,0.0105758880689645
decade,10s,LogReg,6397,0.8074093530101643,0.0097422704513314,0.8233946205850835,0.0077028919235491,0.8651601868153364,0.0077160017771524
decade,10s,KNN,6397,0.7789601250977327,0.0080353283655448,0.8123248503775832,0.0065821193885235,0.8566075120427425,0.0099090578732754
era,Analog (1960-89),RandomForest,23315,0.7658588891271714,0.0034162226466635,0.7833281573674638,0.0031465584241843,0.8439189373151637,0.0038429103908827
era,CD/Digital (1990-2009),RandomForest,11391,0.8446146651046449,0.0150357866873663,0.851121072964097,0.0137465294471077,0.916010119071695,0.0113376532562148
era,Streaming (2010s),RandomForest,6397,0.840706851055512,0.0015660227888752,0.8495521106185346,0.0010762271565627,0.9106098277490464,0.0032004142875223
decade,60s,RandomForest,8641,0.7739847080307607,0.0060567472242657,0.7899890101647243,0.005106378021164,0.8523707344915831,0.0067455975836574
decade,70s,RandomForest,7766,0.7745304682844927,0.0085336818317404,0.7892134493991907,0.0096881283868116,0.8505742198832197,0.0087225279784205
decade,80s,RandomForest,6908,0.8016806546568007,0.0045837290323548,0.8103992206193693,0.0046752817579678,0.8790691211660322,0.004789498420314
decade,90s,RandomForest,5520,0.847644927536232,0.0110700116793131,0.8530320930325213,0.0101597636530199,0.9184943420499896,0.0069604762859516
decade,00s,RandomForest,5871,0.8574354996556599,0.0073260807379348,0.8613854737634359,0.0073762302819108,0.9222952066925056,0.0057464152077318
decade,10s,RandomForest,6397,0.840706851055512,0.0015660227888752,0.8495521106185346,0.0010762271565627,0.9106098277490464,0.0032004142875223
