era,feature,perm_imp_mean,perm_imp_std
Analog (1960-89),danceability,0.02676,0.00098
Analog (1960-89),energy,0.02303,0.00233
Analog (1960-89),key,0.00084,0.0001
Analog (1960-89),loudness,0.01622,0.00228
Analog (1960-89),mode,0.00724,0.00078
Analog (1960-89),speechiness,0.04115,0.0011
Analog (1960-89),acousticness,0.05063,0.00389
Analog (1960-89),instrumentalness,0.07722,0.00391
Analog (1960-89),liveness,0.00275,0.00055
Analog (1960-89),valence,0.01089,0.00131
Analog (1960-89),tempo,0.00835,0.00123
Analog (1960-89),duration_ms,0.01734,0.00126
Analog (1960-89),time_signature,0.00291,0.00071
Analog (1960-89),chorus_hit,0.0009,0.00088
Analog (1960-89),sections,0.00676,0.00122
CD/Digital (1990-2009),danceability,0.04408,0.00246
CD/Digital (1990-2009),energy,0.00682,0.00122
CD/Digital (1990-2009),key,-4e-05,0.00026
CD/Digital (1990-2009),loudness,0.009,0.00175
CD/Digital (1990-2009),mode,0.00139,0.00012
CD/Digital (1990-2009),speechiness,0.00816,0.00112
CD/Digital (1990-2009),acousticness,0.03317,0.0013
CD/Digital (1990-2009),instrumentalness,0.09028,0.00536
CD/Digital (1990-2009),liveness,0.00215,0.00053
CD/Digital (1990-2009),valence,0.0088,0.00088
CD/Digital (1990-2009),tempo,0.00276,0.00052
CD/Digital (1990-2009),duration_ms,0.03221,0.00223
CD/Digital (1990-2009),time_signature,0.00029,0.00034
CD/Digital (1990-2009),chorus_hit,0.00072,0.00017
CD/Digital (1990-2009),sections,0.00094,0.00049
Streaming (2010s),danceability,0.02142,0.00296
Streaming (2010s),energy,0.03184,0.00202
Streaming (2010s),key,0.00057,0.00038
Streaming (2010s),loudness,0.03225,0.00123
Streaming (2010s),mode,0.00053,0.00014
Streaming (2010s),speechiness,0.00326,0.00083
Streaming (2010s),acousticness,0.01696,0.00243
Streaming (2010s),instrumentalness,0.1569,0.00804
Streaming (2010s),liveness,0.00055,0.00038
Streaming (2010s),valence,0.01373,0.00164
Streaming (2010s),tempo,0.00297,0.00038
Streaming (2010s),duration_ms,0.01068,0.00176
Streaming (2010s),time_signature,0.00081,0.00021
Streaming (2010s),chorus_hit,0.00046,0.00064
Streaming (2010s),sections,0.00097,0.00047
