level,group,feature,importance
era,Analog (1960-89),danceability,0.08607607126838168
era,Analog (1960-89),energy,0.0760047667406891
era,Analog (1960-89),key,0.01996522642232815
era,Analog (1960-89),loudness,0.08339053737553119
era,Analog (1960-89),mode,0.01494999963598637
era,Analog (1960-89),speechiness,0.10305291640163348
era,Analog (1960-89),acousticness,0.12437887863705976
era,Analog (1960-89),instrumentalness,0.1738671466892925
era,Analog (1960-89),liveness,0.03855352507892084
era,Analog (1960-89),valence,0.07096870715744089
era,Analog (1960-89),tempo,0.04472627500493159
era,Analog (1960-89),duration_ms,0.07976152376683991
era,Analog (1960-89),time_signature,0.008559850758166782
era,Analog (1960-89),chorus_hit,0.03647340976357777
era,Analog (1960-89),sections,0.0392711652992198
era,CD/Digital (1990-2009),danceability,0.14682852323843928
era,CD/Digital (1990-2009),energy,0.07134024744209032
era,CD/Digital (1990-2009),key,0.015986034229747637
era,CD/Digital (1990-2009),loudness,0.07682638710596333
era,CD/Digital (1990-2009),mode,0.005518641382008791
era,CD/Digital (1990-2009),speechiness,0.0532417463250888
era,CD/Digital (1990-2009),acousticness,0.12299323352973253
era,CD/Digital (1990-2009),instrumentalness,0.2140573075610412
era,CD/Digital (1990-2009),liveness,0.030525680864030586
era,CD/Digital (1990-2009),valence,0.05649592384587758
era,CD/Digital (1990-2009),tempo,0.03198243583037056
era,CD/Digital (1990-2009),duration_ms,0.11238438947309566
era,CD/Digital (1990-2009),time_signature,0.00429862202474051
era,CD/Digital (1990-2009),chorus_hit,0.02676986450868363
era,CD/Digital (1990-2009),sections,0.030750962639089576
era,Streaming (2010s),danceability,0.10038356496843472
era,Streaming (2010s),energy,0.09730479952198452
era,Streaming (2010s),key,0.01696947649853284
era,Streaming (2010s),loudness,0.1069523606155841
era,Streaming (2010s),mode,0.004128859699327385
era,Streaming (2010s),speechiness,0.03952209533534959
era,Streaming (2010s),acousticness,0.10161664652372655
era,Streaming (2010s),instrumentalness,0.2791540385324164
era,Streaming (2010s),liveness,0.03093370464230195
era,Streaming (2010s),valence,0.06112810220853593
era,Streaming (2010s),tempo,0.03242648180625789
era,Streaming (2010s),duration_ms,0.06952229872127107
era,Streaming (2010s),time_signature,0.007876907049843245
era,Streaming (2010s),chorus_hit,0.029314739167467428
era,Streaming (2010s),sections,0.0227659247089665
decade,60s,danceability,0.05582164538119191
decade,60s,energy,0.0804839047166703
decade,60s,key,0.02389142614702668
decade,60s,loudness,0.0879800839694671
decade,60s,mode,0.02618241472099115
decade,60s,speechiness,0.08346902797974161
decade,60s,acousticness,0.11866343999699706
decade,60s,instrumentalness,0.13004451035664952
decade,60s,liveness,0.04122935616962868
decade,60s,valence,0.08053280170528532
decade,60s,tempo,0.04949023744092668
decade,60s,duration_ms,0.12090935054124946
decade,60s,time_signature,0.009323450026793247
decade,60s,chorus_hit,0.043020490086136357
decade,60s,sections,0.048957860761245024
decade,70s,danceability,0.08448412210156456
decade,70s,energy,0.07940320932104389
decade,70s,key,0.02313708897452651
decade,70s,loudness,0.07698718397394343
decade,70s,mode,0.008924296876696328
decade,70s,speechiness,0.09404923314768653
decade,70s,acousticness,0.12270509333475478
decade,70s,instrumentalness,0.1539939658481184
decade,70s,liveness,0.043497008387404716
decade,70s,valence,0.061681251791146606
decade,70s,tempo,0.04749372618968497
decade,70s,duration_ms,0.10470388816848122
decade,70s,time_signature,0.01380801543445095
decade,70s,chorus_hit,0.042953766676034795
decade,70s,sections,0.04217814977446238
decade,80s,danceability,0.10842922440238337
decade,80s,energy,0.061102990307128055
decade,80s,key,0.021172591549358043
decade,80s,loudness,0.06681856023056779
decade,80s,mode,0.006722518621244696
decade,80s,speechiness,0.09834579168952165
decade,80s,acousticness,0.12083946008287165
decade,80s,instrumentalness,0.15759571382925855
decade,80s,liveness,0.046134108758450254
decade,80s,valence,0.06277206355435819
decade,80s,tempo,0.0474179943129722
decade,80s,duration_ms,0.11432955548708548
decade,80s,time_signature,0.00689049995659777
decade,80s,chorus_hit,0.03864505893458435
decade,80s,sections,0.04278386828361798
decade,90s,danceability,0.13720257680588976
decade,90s,energy,0.06624544985461137
decade,90s,key,0.01893906353198065
decade,90s,loudness,0.07796791604676785
decade,90s,mode,0.004990763761862796
decade,90s,speechiness,0.0584653658086505
decade,90s,acousticness,0.12914734560288807
decade,90s,instrumentalness,0.1605043588220426
decade,90s,liveness,0.037717596623279344
decade,90s,valence,0.050120911940307294
decade,90s,tempo,0.03658421354333107
decade,90s,duration_ms,0.14479692024280819
decade,90s,time_signature,0.004088301375917886
decade,90s,chorus_hit,0.030260025332093262
decade,90s,sections,0.04296919070756933
decade,00s,danceability,0.13601685651985893
decade,00s,energy,0.07240574015502424
decade,00s,key,0.017013998680079523
decade,00s,loudness,0.10037234454191972
decade,00s,mode,0.007136041112964035
decade,00s,speechiness,0.04572291063360462
decade,00s,acousticness,0.0901537087107095
decade,00s,instrumentalness,0.24589009588402022
decade,00s,liveness,0.029611471319757044
decade,00s,valence,0.057176846028407106
decade,00s,tempo,0.03085328572911223
decade,00s,duration_ms,0.10537865453053115
decade,00s,time_signature,0.005545623364500817
decade,00s,chorus_hit,0.02674776405137491
decade,00s,sections,0.029974658738136
decade,10s,danceability,0.10038356496843472
decade,10s,energy,0.09730479952198452
decade,10s,key,0.01696947649853284
decade,10s,loudness,0.1069523606155841
decade,10s,mode,0.004128859699327385
decade,10s,speechiness,0.03952209533534959
decade,10s,acousticness,0.10161664652372655
decade,10s,instrumentalness,0.2791540385324164
decade,10s,liveness,0.03093370464230195
decade,10s,valence,0.06112810220853593
decade,10s,tempo,0.03242648180625789
decade,10s,duration_ms,0.06952229872127107
decade,10s,time_signature,0.007876907049843245
decade,10s,chorus_hit,0.029314739167467428
decade,10s,sections,0.0227659247089665
