scheme,group,n,metric,feature,value
alt2_2era,Pre-2000,28835,roc_auc,,0.8528
alt2_2era,Pre-2000,28835,mean_abs_shap,danceability,0.0542
alt2_2era,Pre-2000,28835,mean_abs_shap,energy,0.0336
alt2_2era,Pre-2000,28835,mean_abs_shap,key,0.0028
alt2_2era,Pre-2000,28835,mean_abs_shap,loudness,0.0311
alt2_2era,Pre-2000,28835,mean_abs_shap,mode,0.0134
alt2_2era,Pre-2000,28835,mean_abs_shap,speechiness,0.053
alt2_2era,Pre-2000,28835,mean_abs_shap,acousticness,0.0621
alt2_2era,Pre-2000,28835,mean_abs_shap,instrumentalness,0.0988
alt2_2era,Pre-2000,28835,mean_abs_shap,liveness,0.0077
alt2_2era,Pre-2000,28835,mean_abs_shap,valence,0.0189
alt2_2era,Pre-2000,28835,mean_abs_shap,tempo,0.0069
alt2_2era,Pre-2000,28835,mean_abs_shap,duration_ms,0.0239
alt2_2era,Pre-2000,28835,mean_abs_shap,time_signature,0.0032
alt2_2era,Pre-2000,28835,mean_abs_shap,chorus_hit,0.0039
alt2_2era,Pre-2000,28835,mean_abs_shap,sections,0.014
alt2_2era,2000s+,12268,roc_auc,,0.9156
alt2_2era,2000s+,12268,mean_abs_shap,danceability,0.0677
alt2_2era,2000s+,12268,mean_abs_shap,energy,0.0471
alt2_2era,2000s+,12268,mean_abs_shap,key,0.0022
alt2_2era,2000s+,12268,mean_abs_shap,loudness,0.0623
alt2_2era,2000s+,12268,mean_abs_shap,mode,0.0031
alt2_2era,2000s+,12268,mean_abs_shap,speechiness,0.0126
alt2_2era,2000s+,12268,mean_abs_shap,acousticness,0.0465
alt2_2era,2000s+,12268,mean_abs_shap,instrumentalness,0.1551
alt2_2era,2000s+,12268,mean_abs_shap,liveness,0.0063
alt2_2era,2000s+,12268,mean_abs_shap,valence,0.0178
alt2_2era,2000s+,12268,mean_abs_shap,tempo,0.005
alt2_2era,2000s+,12268,mean_abs_shap,duration_ms,0.0398
alt2_2era,2000s+,12268,mean_abs_shap,time_signature,0.0045
alt2_2era,2000s+,12268,mean_abs_shap,chorus_hit,0.0044
alt2_2era,2000s+,12268,mean_abs_shap,sections,0.0092
alt3_pairs,Early,16407,roc_auc,,0.8443
alt3_pairs,Early,16407,mean_abs_shap,danceability,0.0362
alt3_pairs,Early,16407,mean_abs_shap,energy,0.0342
alt3_pairs,Early,16407,mean_abs_shap,key,0.003
alt3_pairs,Early,16407,mean_abs_shap,loudness,0.0315
alt3_pairs,Early,16407,mean_abs_shap,mode,0.0253
alt3_pairs,Early,16407,mean_abs_shap,speechiness,0.0495
alt3_pairs,Early,16407,mean_abs_shap,acousticness,0.0597
alt3_pairs,Early,16407,mean_abs_shap,instrumentalness,0.0889
alt3_pairs,Early,16407,mean_abs_shap,liveness,0.0056
alt3_pairs,Early,16407,mean_abs_shap,valence,0.0269
alt3_pairs,Early,16407,mean_abs_shap,tempo,0.0099
alt3_pairs,Early,16407,mean_abs_shap,duration_ms,0.0366
alt3_pairs,Early,16407,mean_abs_shap,time_signature,0.0048
alt3_pairs,Early,16407,mean_abs_shap,chorus_hit,0.0048
alt3_pairs,Early,16407,mean_abs_shap,sections,0.0176
