era,seed,feature,mean_abs_shap
Analog (1960-89),42,danceability,0.04739225601801891
Analog (1960-89),42,energy,0.029383861752692447
Analog (1960-89),42,key,0.002534699130339321
Analog (1960-89),42,loudness,0.03017907977014368
Analog (1960-89),42,mode,0.018183208898695537
Analog (1960-89),42,speechiness,0.0505764372671982
Analog (1960-89),42,acousticness,0.05575521927502235
Analog (1960-89),42,instrumentalness,0.09526757749773605
Analog (1960-89),42,liveness,0.009290192637650626
Analog (1960-89),42,valence,0.024719360951785056
Analog (1960-89),42,tempo,0.010749748441559678
Analog (1960-89),42,duration_ms,0.01939952088079987
Analog (1960-89),42,time_signature,0.004477124837103188
Analog (1960-89),42,chorus_hit,0.003136344735470075
Analog (1960-89),42,sections,0.012459700993066916
Analog (1960-89),1,danceability,0.046919119971734737
Analog (1960-89),1,energy,0.02743112019634989
Analog (1960-89),1,key,0.0023542505079396188
Analog (1960-89),1,loudness,0.028288566759891384
Analog (1960-89),1,mode,0.017532551572709592
Analog (1960-89),1,speechiness,0.05125139558762013
Analog (1960-89),1,acousticness,0.05009734964303478
Analog (1960-89),1,instrumentalness,0.0858467497690342
Analog (1960-89),1,liveness,0.008163502169565741
Analog (1960-89),1,valence,0.020226361783672032
Analog (1960-89),1,tempo,0.01170133561535043
Analog (1960-89),1,duration_ms,0.02009741538801792
Analog (1960-89),1,time_signature,0.004320249154026004
Analog (1960-89),1,chorus_hit,0.0036058479651946748
Analog (1960-89),1,sections,0.01343711258242055
Analog (1960-89),2,danceability,0.04701375590753574
Analog (1960-89),2,energy,0.031413149801487635
Analog (1960-89),2,key,0.002606302589007785
Analog (1960-89),2,loudness,0.03264839478532758
Analog (1960-89),2,mode,0.015532691595816115
Analog (1960-89),2,speechiness,0.05149325840462591
Analog (1960-89),2,acousticness,0.052722432202110515
Analog (1960-89),2,instrumentalness,0.09326204483420356
Analog (1960-89),2,liveness,0.008847747754242921
Analog (1960-89),2,valence,0.02368648412349076
Analog (1960-89),2,tempo,0.011396535958812433
Analog (1960-89),2,duration_ms,0.023459858462523773
Analog (1960-89),2,time_signature,0.004107666440069814
Analog (1960-89),2,chorus_hit,0.003470339197778187
Analog (1960-89),2,sections,0.011464774574572102
Analog (1960-89),3,danceability,0.04440335703242247
