era,seed,feature,mean_abs_shap
Analog (1960-89),0,danceability,0.04236183369502569
Analog (1960-89),0,energy,0.030166311886197353
Analog (1960-89),0,key,0.0022920614099221034
Analog (1960-89),0,loudness,0.025736569147905758
Analog (1960-89),0,mode,0.016890927113963998
Analog (1960-89),0,speechiness,0.054767536665587355
Analog (1960-89),0,acousticness,0.056728177382224486
Analog (1960-89),0,instrumentalness,0.10230487511704711
Analog (1960-89),0,liveness,0.009591607292676529
Analog (1960-89),0,valence,0.022771833372787955
Analog (1960-89),0,tempo,0.011343729880314393
Analog (1960-89),0,duration_ms,0.021058031876645816
Analog (1960-89),0,time_signature,0.004998766969989102
Analog (1960-89),0,chorus_hit,0.004049161851498738
Analog (1960-89),0,sections,0.01237771345016955
Analog (1960-89),1,danceability,0.05070287476619544
Analog (1960-89),1,energy,0.025909374098743245
Analog (1960-89),1,key,0.0025098651526227244
Analog (1960-89),1,loudness,0.03002992075692617
Analog (1960-89),1,mode,0.016811413243679664
Analog (1960-89),1,speechiness,0.055657988937513656
Analog (1960-89),1,acousticness,0.05272775667890994
Analog (1960-89),1,instrumentalness,0.09821994320704634
Analog (1960-89),1,liveness,0.008883638114079245
Analog (1960-89),1,valence,0.02407507826624898
Analog (1960-89),1,tempo,0.011819307636007052
Analog (1960-89),1,duration_ms,0.019529564677613076
Analog (1960-89),1,time_signature,0.003972160970072185
Analog (1960-89),1,chorus_hit,0.0036898776630195597
Analog (1960-89),1,sections,0.013942479327618858
Analog (1960-89),2,danceability,0.049907550095045654
Analog (1960-89),2,energy,0.03075351589515202
Analog (1960-89),2,key,0.003386201434224716
Analog (1960-89),2,loudness,0.027650739088903697
Analog (1960-89),2,mode,0.01621281011614853
Analog (1960-89),2,speechiness,0.0548421439996725
Analog (1960-89),2,acousticness,0.05788340949700637
Analog (1960-89),2,instrumentalness,0.08447932696300615
Analog (1960-89),2,liveness,0.008061792266166285
Analog (1960-89),2,valence,0.022875361194335146
Analog (1960-89),2,tempo,0.012129437041735079
Analog (1960-89),2,duration_ms,0.023990029193286508
Analog (1960-89),2,time_signature,0.004427617533718826
Analog (1960-89),2,chorus_hit,0.004052007480801336
Analog (1960-89),2,sections,0.012436992021016342
Analog (1960-89),3,danceability,0.043296419598048905
Analog (1960-89),3,energy,0.03116712231920203
Analog (1960-89),3,key,0.0027119865028866126
Analog (1960-89),3,loudness,0.026923987537400773
Analog (1960-89),3,mode,0.0163086693135334
Analog (1960-89),3,speechiness,0.05023090087936814
Analog (1960-89),3,acousticness,0.058183860366487775
Analog (1960-89),3,instrumentalness,0.08999051579552977
Analog (1960-89),3,liveness,0.007744300905502834
Analog (1960-89),3,valence,0.024267553703184577
Analog (1960-89),3,tempo,0.010914623962373955
Analog (1960-89),3,duration_ms,0.02275801905549109
Analog (1960-89),3,time_signature,0.002993093307665278
Analog (1960-89),3,chorus_hit,0.0035217660535595994
Analog (1960-89),3,sections,0.013641120478941782
Analog (1960-89),4,danceability,0.04821627335421291
Analog (1960-89),4,energy,0.03120716523245307
Analog (1960-89),4,key,0.002481729174572894
Analog (1960-89),4,loudness,0.023744479684431205
Analog (1960-89),4,mode,0.014754634043185342
Analog (1960-89),4,speechiness,0.049943448870520005
Analog (1960-89),4,acousticness,0.05474265760221059
Analog (1960-89),4,instrumentalness,0.10200641249940466
Analog (1960-89),4,liveness,0.008845985708090184
Analog (1960-89),4,valence,0.025464823391684942
Analog (1960-89),4,tempo,0.010705320849630627
Analog (1960-89),4,duration_ms,0.022887158357664514
Analog (1960-89),4,time_signature,0.003729627871545357
Analog (1960-89),4,chorus_hit,0.0037090336621376863
Analog (1960-89),4,sections,0.016250033926681486
CD/Digital (1990-2009),0,danceability,0.08288480877691967
CD/Digital (1990-2009),0,energy,0.03385885059743671
CD/Digital (1990-2009),0,key,0.0024498755988394865
CD/Digital (1990-2009),0,loudness,0.039733168276306643
CD/Digital (1990-2009),0,mode,0.0039538947858919924
CD/Digital (1990-2009),0,speechiness,0.024089264915356737
CD/Digital (1990-2009),0,acousticness,0.05685978817006319
CD/Digital (1990-2009),0,instrumentalness,0.14045453818449066
CD/Digital (1990-2009),0,liveness,0.007192270935595963
CD/Digital (1990-2009),0,valence,0.014033798527550339
